GR_API,"Bulk Density, gcc","Resistivity, ohm-m","Water Saturation, fraction","PhiH, ft","TOC, fraction","TVD, ft"
118,2.2096,23,0.13,23,0.077,10670
170,2.2185,21,0.17,20,0.073,9932
166,2.226,14,0.2,21,0.07,9747
166,2.226,14,0.2,21,0.07,9747
135,2.2303,22,0.16,24,0.068,9222
85,2.2701,13,0.24,27,0.051,9782
200,2.282,48,0.15,13,0.046,8104
151,2.2311,22,0.15,20,0.068,10324
198,2.2206,28,0.14,23,0.072,10270
169,2.2136,23,0.14,22,0.075,10655
151,2.2667,19,0.17,19,0.053,10249
117,2.2578,20,0.17,24,0.056,9664
138,2.2551,15,0.2,19,0.058,9933
111,2.2852,19,0.2,19,0.045,10197
199,2.2229,30,0.14,25,0.071,10175
180,2.2534,41,0.13,18,0.058,8507
96,2.2248,24,0.13,18,0.07,11318
141,2.2686,19,0.19,22,0.052,9787
153,2.2136,24,0.11,20,0.075,11093
167,2.2326,25,0.13,18,0.067,9642
154,2.2518,34,0.16,24,0.059,9050
158,2.2301,22,0.15,21,0.068,10066
156,2.2216,23,0.13,19,0.072,11212
207,2.2354,25,0.14,18,0.066,10465
152,2.2561,27,0.16,16,0.057,9445
154,2.246,22,0.17,19,0.061,9391
138,2.2544,17,0.19,29,0.058,9590
158,2.2359,16,0.19,19,0.066,9556
128,2.2429,8,0.14,22,0.068,12449
175,2.2243,15,0.2,21,0.07,9883
182,2.306,22,0.23,10,0.037,8600
130,2.2557,14,0.21,22,0.057,9698
181,2.2288,28,0.13,21,0.069,9675
162,2.2631,19,0.17,18,0.054,10526
146,2.2361,15,0.19,24,0.065,9418
187,2.2761,14,0.23,22,0.049,9063
175,2.2418,37,0.15,20,0.063,8802
189,2.2122,18,0.15,23,0.076,10387
145,2.2347,20,0.14,21,0.066,10011
148,2.2532,20,0.17,27,0.058,9651
148,2.2532,20,0.17,27,0.058,9651
137,2.27,20,0.19,22,0.051,9813
130,2.2545,13,0.22,19,0.059,9142
160,2.2436,17,0.18,23,0.062,9046
153,2.2585,32,0.14,14,0.056,9610
141,2.2691,18,0.2,25,0.052,9850
243,2.2431,34,0.12,13,0.062,11483
179,2.2462,34,0.13,17,0.061,8350
143,2.2317,14,0.14,22,0.069,10894
126,2.2743,20,0.19,19,0.05,9707
158,2.2325,27,0.13,17,0.067,10018
158,2.2325,27,0.13,17,0.067,10018
150,2.2196,29,0.11,21,0.073,9758
150,2.2196,29,0.11,21,0.073,10225
150,2.2196,29,0.11,21,0.073,9661
222,2.2266,24,0.12,19,0.07,10760
98,2.2251,25,0.13,18,0.07,11265
138,2.2319,23,0.15,20,0.068,10075
205,2.219,28,0.12,22,0.073,11200
144,2.2704,19,0.19,21,0.051,9830
169,2.2441,18,0.19,21,0.062,10230
100,2.2282,32,0.12,23,0.069,9094
120,2.2091,23,0.13,23,0.077,10753
191,2.2599,23,0.18,26,0.056,9217
158,2.2359,17,0.19,19,0.066,9509
157,2.2143,23,0.14,21,0.075,10254
125,2.2124,24,0.12,20,0.075,10919
219,2.2785,48,0.11,15,0.049,8228
237,2.2689,30,0.11,15,0.053,8266
165,2.2206,23,0.15,20,0.072,10560
163,2.2431,18,0.18,23,0.062,8998
138,2.238,14,0.2,21,0.065,9566
155,2.2258,15,0.14,22,0.071,11259
146,2.2145,25,0.13,21,0.075,10374
219,2.2419,30,0.13,14,0.063,10130
194,2.2698,49,0.11,10,0.052,9877
110,2.227,26,0.12,17,0.069,11597
132,2.2714,20,0.19,22,0.051,9821
191,2.2825,14,0.24,22,0.046,9122
164,2.2557,27,0.15,21,0.058,8627
133,2.2573,13,0.27,30,0.057,10240
169,2.2404,15,0.2,20,0.064,10095
193,2.2189,31,0.11,20,0.073,10304
193,2.2189,31,0.11,20,0.073,9853
175,2.2246,28,0.14,22,0.071,9848
153,2.2171,24,0.12,20,0.074,11236
153,2.2448,18,0.17,29,0.062,9326
116,2.2727,19,0.2,20,0.05,10416
159,2.2326,28,0.13,16,0.067,10013
145,2.2147,24,0.14,21,0.075,10257
128,2.2387,36,0.12,19,0.065,9408
203,2.2534,39,0.12,10,0.058,10098
154,2.2183,24,0.11,20,0.073,11255
160,2.2132,25,0.11,21,0.075,10976
178,2.2259,30,0.15,23,0.07,10082
155,2.2607,18,0.21,19,0.056,8913
152,2.2524,24,0.19,19,0.06,9050
118,2.2529,17,0.19,20,0.058,9724
133,2.2508,15,0.2,21,0.059,9523
139,2.3196,13,0.22,16,0.032,10397
157,2.2635,15,0.22,27,0.054,9475
165,2.2309,21,0.14,22,0.068,10160
188,2.2241,30,0.12,20,0.071,9740
118,2.2384,33,0.13,22,0.065,8554
150,2.2372,17,0.18,21,0.065,9281
144,2.2564,15,0.21,30,0.057,9554
138,2.2257,22,0.14,23,0.07,9348
121,2.2318,23,0.14,20,0.068,9916
187,2.2719,14,0.24,22,0.051,9156
136,2.2458,15,0.2,24,0.061,9512
137,2.2525,18,0.18,28,0.059,9584
243,2.2426,25,0.12,15,0.063,11178
134,2.2243,33,0.11,22,0.07,9675
148,2.2351,20,0.14,21,0.066,9768
147,2.2303,25,0.14,18,0.068,10092
153,2.2327,34,0.12,18,0.067,9810
144,2.2133,24,0.12,20,0.075,10868
191,2.2461,12,0.17,17,0.064,11065
162,2.2164,24,0.11,20,0.074,11018
151,2.2638,32,0.14,15,0.054,9500
137,2.2434,15,0.2,24,0.062,9522
147,2.2659,19,0.19,21,0.053,9680
153,2.2349,14,0.2,20,0.066,9440
172,2.2292,22,0.15,21,0.069,10036
184,2.2237,19,0.19,22,0.071,10178
174,2.2594,44,0.14,20,0.056,8955
156,2.2359,20,0.18,23,0.066,9309
180,2.2427,32,0.14,18,0.063,8394
180,2.2427,32,0.14,18,0.063,8394
212,2.2189,27,0.12,25,0.073,11200
105,2.2303,34,0.12,23,0.068,9070
192,2.2458,33,0.16,20,0.062,8774
89,2.2477,14,0.23,30,0.061,9444
156,2.2357,21,0.17,23,0.066,9316
151,2.256,28,0.15,15,0.057,9580
139,2.2426,26,0.17,21,0.063,9131
159,2.2581,20,0.17,18,0.056,10308
164,2.2411,37,0.15,20,0.064,8967
122,2.2284,16,0.14,22,0.07,11034
206,2.2354,29,0.14,14,0.066,10170
104,2.2175,22,0.13,21,0.073,11015
238,2.2362,26,0.12,17,0.065,10976
161,2.298,14,0.28,20,0.04,9024
100,2.2288,33,0.12,23,0.069,9101
141,2.2416,15,0.19,22,0.063,9350
162,2.245,14,0.2,20,0.062,9991
143,2.2317,14,0.14,22,0.069,10915
180,2.2487,31,0.17,20,0.061,8939
182,2.2648,18,0.17,25,0.054,9273
110,2.2315,32,0.13,23,0.068,9051
143,2.271,19,0.19,18,0.051,9943
149,2.2457,7,0.14,20,0.066,12227
108,2.2774,18,0.21,20,0.048,9883
123,2.2581,20,0.17,24,0.056,9666
198,2.2346,23,0.15,16,0.066,10465
152,2.2312,22,0.15,20,0.068,9843
162,2.2425,48,0.11,20,0.063,8878
129,2.2232,23,0.13,19,0.071,11658
157,2.2401,18,0.18,20,0.064,9463
166,2.254,36,0.13,22,0.058,8989
179,2.2799,15,0.24,22,0.048,9331
208,2.2191,26,0.12,22,0.073,10691
111,2.2265,25,0.12,18,0.07,11511
173,2.2423,36,0.15,20,0.063,8814
161,2.2604,40,0.13,14,0.055,9567
154,2.2474,22,0.17,19,0.061,9390
183,2.2844,17,0.18,21,0.046,9011
173,2.2319,13,0.18,29,0.067,10910
132,2.2436,7,0.14,22,0.068,12226
164,2.2366,33,0.14,18,0.065,9771
149,2.2192,29,0.11,20,0.073,9962
148,2.241,16,0.18,22,0.064,9371
138,2.2409,33,0.15,21,0.064,8905
137,2.2712,20,0.18,17,0.051,10190
117,2.284,20,0.2,19,0.046,10174
169,2.2417,16,0.19,20,0.063,10110
109,2.2267,25,0.12,17,0.07,11327
149,2.2308,24,0.13,20,0.068,9594
112,2.2137,23,0.12,20,0.075,11008
165,2.2144,24,0.11,20,0.075,11115
158,2.2188,24,0.11,20,0.073,11259
138,2.2292,23,0.15,24,0.068,9230
191,2.2814,14,0.24,23,0.047,9091
151,2.256,28,0.15,15,0.057,9676
151,2.2598,17,0.19,18,0.056,10030
95,2.2696,13,0.24,28,0.052,9704
158,2.2668,14,0.23,27,0.053,9580
144,2.2607,15,0.22,19,0.056,9102
157,2.2377,17,0.19,20,0.065,9428
170,2.2377,15,0.2,20,0.065,10035
152,2.26,18,0.18,18,0.056,9953
145,2.2377,15,0.19,21,0.065,9376
101,2.2303,13,0.14,24,0.071,11529
147,2.2345,20,0.14,20,0.066,9803
171,2.241,18,0.19,20,0.063,10158
185,2.2747,14,0.23,21,0.049,8960
178,2.2622,24,0.2,23,0.055,8907
214,2.243,30,0.14,14,0.063,10673
110,2.2142,22,0.13,24,0.075,10897
205,2.2821,47,0.15,13,0.046,8121
153,2.2297,14,0.14,22,0.07,10908
231,2.2695,37,0.12,17,0.051,8102
142,2.2348,21,0.14,22,0.066,9976
182,2.2105,18,0.15,22,0.076,10340
159,2.2248,26,0.14,16,0.07,9883
190,2.2396,39,0.1,18,0.064,9073
119,2.21,23,0.13,23,0.076,10919
138,2.2206,24,0.12,19,0.072,11026
185,2.2147,19,0.14,23,0.074,10432
144,2.2133,24,0.12,20,0.075,10752
154,2.267,36,0.13,15,0.053,9739
154,2.267,36,0.13,15,0.053,9589
183,2.2716,14,0.23,21,0.051,9589
115,2.2242,25,0.12,19,0.071,8980
108,2.2774,18,0.21,20,0.048,11211
159,2.2334,17,0.18,20,0.067,10006
130,2.2426,17,0.18,22,0.063,9521
107,2.2763,19,0.2,20,0.049,9436
135,2.244,6,0.14,21,0.067,10110
160,2.2467,22,0.14,14,0.059,10082
131,2.2519,14,0.21,21,0.059,11120
144,2.2707,19,0.19,20,0.051,9415
144,2.2691,19,0.19,20,0.052,9955
146,2.2624,14,0.22,23,0.054,9906
154,2.2633,19,0.19,25,0.054,9287
158,2.2419,47,0.11,20,0.063,9857
189,2.2354,28,0.13,18,0.066,9140
236,2.2561,41,0.12,12,0.057,9318
179,2.2924,23,0.31,16,0.042,10593
189,2.2795,14,0.24,22,0.047,8346
190,2.2811,14,0.24,22,0.047,9011
134,2.2194,17,0.14,25,0.074,9034
174,2.2245,26,0.13,22,0.071,11197
179,2.2247,25,0.13,22,0.07,11200
118,2.2178,22,0.13,20,0.073,11200
186,2.2493,30,0.17,20,0.061,11280
143,2.2462,7,0.15,22,0.067,8806
157,2.26,20,0.17,18,0.056,12187
173,2.221,16,0.2,21,0.072,10196
151,2.24,16,0.18,22,0.064,9991
186,2.2321,30,0.12,19,0.067,9354
186,2.2321,30,0.12,19,0.067,10256
186,2.2321,30,0.12,19,0.067,9682
202,2.2821,48,0.15,13,0.046,9684
152,2.2546,26,0.16,16,0.058,8046
190,2.282,14,0.24,22,0.046,9342
142,2.2454,15,0.2,21,0.062,9070
145,2.2415,15,0.19,22,0.063,9699
126,2.2743,20,0.19,19,0.05,9193
143,2.2456,13,0.15,18,0.063,9681
135,2.2212,25,0.14,17,0.072,10886
239,2.2421,25,0.12,15,0.063,10199
198,2.2741,44,0.12,15,0.05,11046
156,2.2309,27,0.14,16,0.068,8149
182,2.2218,30,0.12,20,0.072,9983
173,2.2179,26,0.12,22,0.073,9958
148,2.2515,21,0.2,19,0.06,9405
171,2.2324,13,0.21,20,0.067,9850
162,2.2288,15,0.2,21,0.069,9749
164,2.2573,25,0.18,19,0.058,9586
152,2.2337,13,0.21,20,0.067,8936
157,2.2367,16,0.19,21,0.065,9445
157,2.2367,16,0.19,21,0.065,9431
152,2.2491,17,0.19,22,0.06,9431
131,2.2539,14,0.21,21,0.058,9094
116,2.2727,19,0.2,20,0.05,9698
178,2.2235,31,0.12,22,0.071,10656
145,2.2302,25,0.15,21,0.068,9600
178,2.2371,19,0.13,18,0.065,9965
125,2.2317,34,0.11,22,0.067,10054
199,2.2529,31,0.15,18,0.059,9332
157,2.237,17,0.18,21,0.065,8327
157,2.237,17,0.18,21,0.065,9441
136,2.2603,17,0.2,20,0.055,9441
154,2.2377,17,0.18,21,0.065,9734
174,2.2233,11,0.19,33,0.071,9326
127,2.2283,25,0.14,20,0.069,11190
207,2.2342,25,0.15,14,0.066,10086
127,2.2122,23,0.13,22,0.075,10214
129,2.2217,26,0.13,22,0.072,10707
113,2.2405,9,0.14,21,0.069,10088
119,2.21,23,0.13,23,0.076,12474
150,2.2483,7,0.15,22,0.067,10888
187,2.2761,14,0.23,22,0.049,9200
206,2.2633,27,0.15,20,0.054,9560
137,2.2716,20,0.18,17,0.051,8950
147,2.2717,14,0.22,21,0.051,10158
153,2.2622,20,0.18,24,0.054,9433
208,2.2647,9,0.26,26,0.054,9858
178,2.2207,11,0.18,33,0.072,10610
146,2.2297,14,0.14,22,0.07,11026
122,2.2303,24,0.14,22,0.068,10950
142,2.2469,39,0.12,20,0.061,10141
235,2.2508,25,0.12,15,0.06,9308
105,2.2262,25,0.12,18,0.07,9388
208,2.2164,26,0.13,25,0.074,11524
155,2.2372,17,0.18,21,0.065,10880
128,2.2425,17,0.18,23,0.063,9394
164,2.2606,28,0.15,19,0.056,9301
167,2.2407,38,0.14,20,0.064,9002
177,2.2497,31,0.15,20,0.06,8884
158,2.2345,15,0.19,19,0.066,8798
192,2.2842,12,0.27,20,0.046,9440
198,2.2217,30,0.12,20,0.072,9923
198,2.2217,30,0.12,20,0.072,9520
211,2.2244,22,0.13,19,0.071,9851
123,2.2473,10,0.15,22,0.068,10705
150,2.2174,23,0.12,20,0.073,8494
83,2.2303,5,0.13,17,0.069,11192
164,2.2634,18,0.17,19,0.054,9539
151,2.2403,16,0.18,22,0.064,9690
99,2.2378,10,0.14,21,0.07,9382
204,2.2821,47,0.15,13,0.046,11962
148,2.2189,29,0.11,20,0.073,8105
207,2.2256,21,0.13,19,0.07,9705
234,2.2454,33,0.12,18,0.062,10655
137,2.2444,6,0.14,20,0.066,9189
154,2.2223,23,0.13,19,0.071,12128
114,2.2898,18,0.22,18,0.043,11521
171,2.2227,15,0.2,21,0.071,10354
145,2.2668,18,0.19,20,0.053,9800
178,2.213,19,0.15,21,0.075,9914
66,2.2317,13,0.14,24,0.071,10560
124,2.2237,23,0.13,19,0.071,11798
138,2.2227,23,0.13,19,0.071,11257
197,2.2244,29,0.12,20,0.071,11202
197,2.2244,29,0.12,20,0.071,10323
206,2.238,26,0.14,17,0.065,9846
184,2.2327,28,0.13,19,0.067,10648
138,2.2384,14,0.2,21,0.065,9942
156,2.2354,19,0.18,24,0.066,9583
148,2.2532,20,0.17,27,0.058,9260
148,2.2532,20,0.17,27,0.058,9340
164,2.2411,37,0.15,20,0.064,9538
138,2.2551,15,0.2,19,0.058,8979
128,2.226,34,0.11,22,0.07,9919
206,2.2267,21,0.13,19,0.07,9364
146,2.2335,20,0.15,20,0.067,10786
138,2.252,36,0.13,17,0.059,10057
228,2.2364,18,0.17,18,0.065,10080
195,2.2248,21,0.14,20,0.07,10434
159,2.2327,29,0.13,16,0.067,10328
135,2.2118,25,0.13,20,0.076,9975
85,2.2311,8,0.14,17,0.07,10675
177,2.2247,24,0.14,20,0.07,10342
114,2.214,23,0.12,21,0.075,10067
169,2.2441,18,0.19,21,0.062,11109
159,2.2552,15,0.2,23,0.057,10042
148,2.2605,14,0.21,23,0.055,9163
138,2.2705,20,0.18,17,0.051,9294
169,2.2283,13,0.21,21,0.069,10131
133,2.2574,19,0.19,21,0.057,9807
141,2.2704,17,0.21,22,0.051,10138
189,2.2122,18,0.15,23,0.076,9189
104,2.2259,25,0.12,18,0.07,10347
210,2.2158,26,0.12,23,0.074,11276
120,2.2141,23,0.12,20,0.075,10447
180,2.2192,27,0.12,22,0.073,11053
168,2.2145,24,0.11,20,0.075,11200
156,2.2399,18,0.18,19,0.064,9504
156,2.2399,18,0.18,19,0.064,9452
184,2.2237,19,0.19,22,0.071,9452
146,2.2258,16,0.14,22,0.071,10001
149,2.214,27,0.11,22,0.075,11110
180,2.2318,26,0.14,19,0.067,10720
180,2.2318,26,0.14,19,0.067,10278
180,2.2318,26,0.14,19,0.067,9770
178,2.2468,35,0.13,17,0.061,10278
221,2.2264,23,0.12,19,0.07,8292
179,2.226,24,0.14,21,0.07,10680
163,2.2158,24,0.11,20,0.074,9976
158,2.2188,24,0.11,20,0.073,10998
160,2.2462,21,0.15,13,0.059,11218
140,2.2389,15,0.19,23,0.065,11120
140,2.2401,20,0.18,21,0.064,9335
143,2.2647,18,0.19,20,0.054,9102
141,2.2717,16,0.22,22,0.05,9874
154,2.2382,17,0.18,22,0.065,9818
162,2.2436,18,0.18,23,0.062,9334
154,2.2467,22,0.17,18,0.061,8985
181,2.2691,47,0.11,16,0.052,9567
159,2.2581,20,0.17,18,0.056,8835
146,2.2624,14,0.22,23,0.054,10194
170,2.2377,15,0.2,20,0.065,9313
167,2.2438,16,0.2,28,0.062,9815
148,2.2362,14,0.2,21,0.065,9025
141,2.2099,24,0.13,24,0.076,9479
153,2.2163,24,0.12,20,0.074,10655
191,2.2438,27,0.17,21,0.063,10694
190,2.282,14,0.24,22,0.046,8786
151,2.2667,19,0.17,19,0.053,9082
212,2.2934,11,0.29,20,0.042,10462
126,2.2219,29,0.12,20,0.072,10353
169,2.2453,44,0.13,17,0.062,9632
161,2.2346,30,0.13,14,0.066,9554
107,2.2184,22,0.13,20,0.073,9984
175,2.2367,25,0.14,19,0.065,11483
137,2.27,20,0.19,22,0.051,10195
177,2.2617,15,0.22,24,0.055,9783
177,2.2617,15,0.22,24,0.055,9465
130,2.2296,24,0.15,24,0.068,8913
139,2.2694,19,0.18,19,0.052,9127
144,2.2504,15,0.21,19,0.06,10190
152,2.2707,18,0.19,19,0.051,9102
142,2.2454,13,0.15,18,0.064,10409
219,2.2429,30,0.13,14,0.063,11314
218,2.2266,23,0.13,19,0.07,10686
216,2.2314,24,0.13,18,0.068,10829
177,2.2152,27,0.11,23,0.074,10754
209,2.219,28,0.12,24,0.073,10448
156,2.239,20,0.17,17,0.064,11200
200,2.2613,28,0.15,21,0.055,9535
145,2.2668,18,0.19,20,0.053,8848
177,2.2607,41,0.12,16,0.055,9702
172,2.2432,26,0.15,18,0.062,8857
162,2.2469,32,0.13,19,0.061,10442
174,2.2431,25,0.15,18,0.062,8526
120,2.2247,26,0.13,21,0.07,10463
145,2.2477,34,0.13,17,0.061,9715
160,2.225,24,0.11,19,0.07,9185
259,2.2447,28,0.12,15,0.062,11200
160,2.2463,14,0.21,20,0.061,11166
185,2.2913,15,0.19,21,0.043,9846
126,2.2274,25,0.13,21,0.069,9070
104,2.2148,22,0.13,25,0.074,9918
135,2.2298,23,0.13,20,0.068,11198
132,2.252,14,0.21,21,0.059,11200
159,2.2325,28,0.13,16,0.067,9677
116,2.2101,22,0.13,24,0.076,9822
160,2.2462,21,0.15,13,0.059,11010
157,2.2381,18,0.18,18,0.065,11120
157,2.2381,18,0.18,18,0.065,9581
153,2.2475,22,0.17,18,0.061,9348
123,2.2307,24,0.14,22,0.068,9605
141,2.2598,20,0.2,19,0.056,10086
157,2.2616,20,0.17,18,0.055,9008
142,2.2523,14,0.21,22,0.059,10397
148,2.2331,19,0.17,24,0.067,9390
